96,52944,995,0,
96,995,52944,0,
96,52944,995,0,
96,52944,995,1752,16
96,52944,995,323,65
96,995,52944,0,
96,995,52944,0,
96,995,52944,0,
96,995,52944,387,16
96,52944,995,0,
96,52944,995,1,08
96,52944,995,13,17
96,52944,995,33,17
96,995,52944,0,
96,995,52944,0,
96,995,52944,0,
96,995,52944,14,17
96,52944,995,530,17
96,995,52944,0,
96,995,52944,1448,17
96,995,52944,1448,EE
96,52944,995,0,
96,995,52944,1200,95
96,52944,995,93,17
96,52944,995,99,17
96,52944,995,75,17
96,995,52944,0,
96,995,52944,0,
96,995,52944,0,
96,995,52944,661,17
96,52944,995,44,17
96,995,52944,44,17
96,52944,995,0,
96,995,52944,0,
96,995,52944,2637,17
96,52944,995,0,
96,995,52944,2896,17
96,52944,995,0,
96,995,52944,2896,5D
96,52944,995,0,
96,995,52944,2896,18
96,52944,995,0,
96,995,52944,2896,1E
96,52944,995,0,
96,995,52944,2896,07
96,52944,995,0,
96,995,52944,1448,A4
96,52944,995,0,
96,995,52944,1448,79
96,52944,995,0,
96,995,52944,1448,D8
96,52944,995,0,
96,995,52944,1448,A0
96,52944,995,0,
96,995,52944,1448,CC
96,52944,995,0,
96,995,52944,2896,B9
96,52944,995,0,
96,995,52944,1448,B7
96,995,52944,1448,8D
96,52944,995,0,
96,995,52944,2896,7E
96,52944,995,0,
96,995,52944,1448,F2
96,995,52944,1448,E7
96,52944,995,0,
96,995,52944,1448,F7
96,995,52944,1448,1A
96,52944,995,0,
96,995,52944,1448,8B
96,995,52944,1448,A3
96,52944,995,0,
96,995,52944,2896,F4
96,52944,995,0,
96,995,52944,2896,E2
96,52944,995,0,
96,995,52944,2896,1E
96,52944,995,0,
96,995,52944,2896,3E
96,52944,995,0,
96,995,52944,1448,40
96,995,52944,1448,9E
96,52944,995,0,
96,995,52944,1448,76
96,995,52944,1448,9D
96,52944,995,0,
96,995,52944,1448,BC
96,995,52944,1448,02
96,52944,995,0,
96,995,52944,2896,AE
96,52944,995,0,
96,995,52944,1448,3D
96,995,52944,1448,04
96,52944,995,0,
96,995,52944,2896,4B
96,52944,995,0,
96,995,52944,1448,5F
96,995,52944,1448,8A
96,52944,995,0,
96,995,52944,2896,7C
96,52944,995,0,
96,995,52944,1448,E1
96,995,52944,1448,65
96,52944,995,0,
96,995,52944,2896,54
96,52944,995,0,
96,995,52944,1448,13
96,995,52944,1448,40
96,52944,995,0,
96,995,52944,805,67
96,52944,995,0,
96,52944,995,52,17
96,52944,995,37,17
96,52944,995,13,17
96,52944,995,0,
96,995,52944,0,
96,995,52944,0,
96,995,52944,0,
96,995,52944,0,
96,52944,995,0,
